# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20150101-20171231
# ----------------------------------------

Day Index,Sessions,Users
1/1/15,25,21
1/2/15,23,20
1/3/15,26,24
1/4/15,34,34
1/5/15,27,27
1/6/15,32,29
1/7/15,37,32
1/8/15,35,33
1/9/15,35,34
1/10/15,26,25
1/11/15,25,24
1/12/15,29,28
1/13/15,41,36
1/14/15,47,43
1/15/15,40,39
1/16/15,32,27
1/17/15,29,26
1/18/15,41,39
1/19/15,43,43
1/20/15,54,47
1/21/15,49,42
1/22/15,50,43
1/23/15,35,34
1/24/15,20,20
1/25/15,27,27
1/26/15,44,42
1/27/15,42,37
1/28/15,40,39
1/29/15,50,47
1/30/15,31,28
1/31/15,33,32
2/1/15,242,240
2/2/15,445,416
2/3/15,105,90
2/4/15,60,55
2/5/15,48,47
2/6/15,57,53
2/7/15,45,44
2/8/15,49,47
2/9/15,71,68
2/10/15,52,49
2/11/15,53,47
2/12/15,70,64
2/13/15,44,43
2/14/15,32,29
2/15/15,51,47
2/16/15,65,60
2/17/15,67,60
2/18/15,62,60
2/19/15,53,51
2/20/15,57,48
2/21/15,38,38
2/22/15,65,54
2/23/15,72,65
2/24/15,83,76
2/25/15,94,84
2/26/15,75,70
2/27/15,41,40
2/28/15,39,35
3/1/15,51,47
3/2/15,61,56
3/3/15,49,44
3/4/15,185,178
3/5/15,161,145
3/6/15,71,63
3/7/15,46,39
3/8/15,74,62
3/9/15,157,145
3/10/15,136,117
3/11/15,90,81
3/12/15,66,63
3/13/15,48,45
3/14/15,46,44
3/15/15,54,52
3/16/15,52,47
3/17/15,115,101
3/18/15,105,96
3/19/15,55,51
3/20/15,82,81
3/21/15,77,74
3/22/15,82,78
3/23/15,50,47
3/24/15,129,127
3/25/15,104,98
3/26/15,81,75
3/27/15,58,53
3/28/15,60,58
3/29/15,33,31
3/30/15,51,48
3/31/15,69,62
4/1/15,70,64
4/2/15,47,42
4/3/15,36,32
4/4/15,31,24
