,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
1,LeBron James\jamesle01,CLE,$30963450,$33285709,$35607968,,,,Early Bird,$64249159
2,Mike Conley\conlemi01,MEM,$26540100,$28530608,$30521115,$32511623,$34504132,,Cap Space,$140529829
3,DeMar DeRozan\derozde01,TOR,$26540100,$27739975,$27739975,$27739975,$27739975,,Cap Space,$109760025
4,James Harden\hardeja01,HOU,$26540100,$28299339,$30431854,$32703493,,,Bird Rights,$85271293
5,Al Horford\horfoal01,BOS,$26540100,$27734405,$28928710,$30123015,,,Cap Space,$83203215
6,Russell Westbrook\westbru01,OKC,$26540100,$28530608,$30670404,,,,Bird Rights,$55070708
7,Kevin Durant\duranke01,GSW,$26540100,$27734406,,,,,Cap Space,$26540100
8,Dirk Nowitzki\nowitdi01,DAL,$25000000,$25000000,,,,,Bird Rights,$25000000
9,Carmelo Anthony\anthoca01,NYK,$24559380,$26243760,$27928140,,,,Bird Rights,$50803140
10,Damian Lillard\lillada01,POR,$24328425,$26153057,$27977689,$29802321,$31626953,,1st Round Pick,$139888445
11,Chris Bosh\boshch01,MIA,$23741060,$25289390,$26837720,,,,Bird Rights,$75868170
12,Dwyane Wade\wadedw01,CHI,$23200000,$23800000,,,,,Cap Space,$23200000
13,Dwight Howard\howardw01,ATL,$23180275,$23500000,$23819725,,,,Cap Space,$70500000
14,Chris Paul\paulch01,LAC,$22868828,$24268960,,,,,Bird Rights,$22868828
15,Bradley Beal\bealbr01,WAS,$22116750,$23775506,$25434263,$27093019,$28751775,,Cap Space,$127171313
16,Anthony Davis\davisan02,NOP,$22116750,$23775506,$25434263,$27093019,$28751775,,1st Round Pick,$127171313
17,Andre Drummond\drumman01,DET,$22116750,$23775506,$25434263,$27093019,$28751775,,Cap Space,$98419538
18,Chandler Parsons\parsoch01,MEM,$22116750,$23112004,$24107258,$25102511,,,Cap Space,$94438523
19,Hassan Whiteside\whiteha01,MIA,$22116750,$23775506,$25434263,$27093018,,,Cap Space,$71326519
20,Harrison Barnes\barneha02,DAL,$22116750,$23112004,$24107258,$25102512,,,Cap Space,$69336012
