Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,27,STL,59,56,27,25,3,152,1614,1462,.906,2.75,1,7.9,3317,27,.482,8,107,-10.34,0,1,1,0
2,Frederik Andersen\anderfr01,28,TOR,66,66,38,21,5,182,2211,2029,.918,2.81,5,13.6,3889,37,.561,8,94,12.06,0,1,1,2
3,Craig Anderson\andercr01,36,OTT,58,55,23,25,6,180,1768,1588,.898,3.32,2,7.2,3251,25,.455,11,116,-24.83,0,0,0,2
4,Ken Appleby\appleke01,22,NJD,3,1,0,1,0,3,55,52,.945,1.45,0,0.5,124,0,.000,0,,,0,0,0,0
5,Jonathan Bernier\bernijo01,29,COL,37,34,19,13,3,95,1092,997,.913,2.85,2,6.2,2001,18,.529,5,99,0.84,0,1,1,0
6,Reto Berra\berrare01,31,ANA,5,1,1,1,0,7,95,88,.926,2.31,0,0.7,182,1,1.000,0,,,0,0,0,0
7,Jean-Francois Berube\berubje02,26,CHI,13,10,3,6,1,42,398,356,.894,3.78,0,1.4,667,3,.300,3,120,-7.07,0,0,0,0
8,Ben Bishop\bishobe01,31,DAL,53,51,26,17,5,120,1437,1317,.916,2.49,5,8.7,2887,27,.529,8,95,6.12,0,1,1,4
9,Sergei Bobrovsky\bobrose01,29,CBJ,65,65,37,22,6,158,1993,1835,.921,2.42,5,12.9,3912,38,.585,10,90,16.92,0,3,3,0
10,Laurent Brossoit\brossla01,24,EDM,14,10,3,7,1,40,343,303,.883,3.24,0,0.8,740,5,.500,2,133,-9.90,0,1,1,0
11,Peter Budaj\budajpe01,35,TBL,8,7,3,3,1,27,217,190,.876,3.76,0,0.3,430,2,.286,1,,,0,0,0,0
12,Jack Campbell\campbja01,26,LAK,5,4,2,0,2,11,145,134,.924,2.48,0,1.0,267,2,.500,0,,,0,0,0,0
13,Eric Comrie\comrier01,22,WPG,3,3,1,2,0,12,94,82,.872,3.99,0,0.1,180,1,.333,0,,,0,0,0,0
14,Mike Condon\condomi01,27,OTT,31,26,5,17,5,88,898,810,.902,3.25,0,4.0,1626,13,.500,6,112,-9.18,0,2,2,0
15,Jared Coreau\coreaja01,26,DET,7,7,0,5,1,27,203,176,.867,4.26,0,0.1,380,1,.143,2,,,0,0,0,0
16,Corey Crawford\crawfco01,33,CHI,28,27,16,9,2,60,842,782,.929,2.27,2,6.2,1584,17,.630,3,81,13.90,0,0,0,0
17,Oscar Dansk\danskos01,23,VEG,4,3,3,0,0,5,93,88,.946,1.78,1,0.9,169,3,1.000,0,,,0,0,0,0
18,Scott Darling\darlisc01,29,CAR,43,40,13,21,7,131,1171,1040,.888,3.18,0,3.5,2475,14,.350,7,127,-28.22,0,0,0,2
19,Collin Delia\deliaco01,23,CHI,2,2,1,1,0,7,63,56,.889,3.96,0,0.2,106,1,.500,0,,,0,0,0,2
